"libelleNomsArtistes","numero","titre","dateProduction","categorie","materiaux","dimensions","lieuProduction","emplacementOeuvresDansLaVille","provenance","collection","departement","dateAcquisition","oeuvrePrincipale","oeuvrePrincipaleId","elements","elementsId","nomsArtistesTries","artistes","artistesId","evenements","evenementsId","publications","publicationsId","images","id"
"Henri Georges Adam","A 67 7 G 5 (1)","Hommage à Rodin - Cathédrale (tirée de l’album « Hommage à Rodin », 1967)","1967","Estampe","Eau-forte, 51/120","76,2 x 56,5 cm","Paris, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1967","Henri Georges Adam et al. : Hommage à Rodin, 1967","hommage-a-rodin","","","Adam, Henri Georges","Henri Georges Adam","adam-henri-georges","","","","","https://macrepertoire.macm.org/kit/a-67-7-g-5-1/","hommage-a-rodin-cathedrale-hommage-a-rodin"
"Alexander Archipenko","A 79 97 S 1","Eroica","vers 1930","Sculpture","Terre cuite","49 x 33 x 20 cm","","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1979","","","","","Archipenko, Alexander","Alexander Archipenko","archipenko-alexander","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Acquisitions récentes, 1979-03-08 → 1979-04-22 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | acquisitions-recentes-1979-03-08","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/a-79-97-s-1/","eroica"
"Hans Arp","D 74 52 S 1","Mangeur de la rose","1963","Sculpture","Marbre","14,5 x 15 x 18,5 cm","Meudon-Val-Fleury, France","","Don du docteur Max Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1974","","","","","Arp, Hans","Hans Arp","arp-hans","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Point, Ligne, Plan, 1986-01-26 → 1986-03-16 [Exposition – collection] | Don Stern, 1984-01-19 → 1984-02-28 [Exposition – collection] | Petits formats de la collection, 1978-05-18 → 1978-06-18 [Exposition – collection] | La Collection permanente, 1965-1975, 1975-06-22 → 1975-07-20 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | point-ligne-plan | don-stern | petits-formats-de-la-collection | la-collection-permanente-1965-1975","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/d-74-52-s-1/","mangeur-de-la-rose"
"Hans Arp","D 76 24 S 1","Apparat d’une danse","1960","Sculpture","Bronze, 2/3","117,8 x 76 x 10,5 cm (œuvre), 13,5 x 55,2 x 29,5 cm (base)","Meudon-Val-Fleury, France","","Don de monsieur H. Arnold Steinberg","Collection Musée d’art contemporain de Montréal","Art contemporain international","1976","","","","","Arp, Hans","Hans Arp","arp-hans","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection] | Œuvres phares : peintures et sculptures majeures, 1996-05-17 → 1996-10-20 [Exposition – collection] | La Collection : tableau inaugural, 1992-05-28 → 1994-04-03 [Exposition – collection] | Les vingt ans du Musée à travers sa collection, 1985-01-27 → 1985-04-21 [Exposition – collection] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Sculptures de la collection, 1978-10-26 → 1978-11-05 [Exposition – collection]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain | oeuvres-phares-peintures-et-sculptures-majeures | la-collection-tableau-inaugural | les-vingt-ans-du-musee-a-travers-sa-collection | la-collection-permanente-du-musee | sculptures-de-la-collection","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014 [Catalogue] | La Collection : Tableau inaugural, 1992 [Catalogue] | Les Vingt ans du Musée à travers sa collection, 1985 [Catalogue]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art | la-collection-tableau-inaugural | les-vingt-ans-du-musee-a-travers-sa-collection","https://macrepertoire.macm.org/kit/d-76-24-s-1/","apparat-d-une-danse"
"Hans Arp","D 85 41 S 1","Cœur de fruit","1960","Sculpture","Bronze, 2/5","35,5 x 44 x 8,5 cm","Meudon-Val-Fleury, France","","Don du docteur Max Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1985","","","","","Arp, Hans","Hans Arp","arp-hans","","","","","https://macrepertoire.macm.org/kit/d-85-41-s-1/","coeur-de-fruit"
"Hans Arp","D 80 83 TAP 1","Conférence au sommet","1958","Fibre/Papier-matière","Haute-lisse, laine","152,1 x 204,7 cm","","","Don de monsieur Peter Molson","Collection Musée d’art contemporain de Montréal","Art contemporain international","1980","","","","","Arp, Hans","Hans Arp","arp-hans","L’État du monde, 2017-03-17 → 2017-08-20 [Exposition – collection] | La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection]","l-etat-du-monde | la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain","","","https://macrepertoire.macm.org/kit/d-80-83-tap-1/","conference-au-sommet"
"Hans Arp","A 64 35 G 1","Composition","vers 1950","Estampe","Sérigraphie, 57/200","65,2 x 47,7 cm","Meudon-Val-Fleury, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1964","","","","","Arp, Hans","Hans Arp","arp-hans","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Point, Ligne, Plan, 1986-01-26 → 1986-03-16 [Exposition – collection] | La collection permanente : œuvres internationales sur papier 1914-1980, 1980-08-22 → 1980-10-12 [Exposition – collection] | Gravures québécoises et internationales de la collection, 1979-01-18 → 1979-03-04 [Exposition – collection] | La Collection permanente, 1965-1975, 1975-06-22 → 1975-07-20 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | point-ligne-plan | la-collection-permanente-oeuvres-internationales-sur-papier | gravures-quebecoises-et-internationales-de-la-collection | la-collection-permanente-1965-1975","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/a-64-35-g-1/","composition"
"Hans Arp","D 72 1 S 1","Figure mythique","1950","Sculpture","Plâtre","113 x 40 x 37,5 cm","Meudon-Val-Fleury, France","","Don de madame Hans Arp et de madame et monsieur Max Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1972","","","","","Arp, Hans","Hans Arp","arp-hans","Entre le soi et l’autre, 2017-03-16 → 2017-08-20 [Exposition – collection] | La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014-06-19 → 2014-09-07 [Exposition – collection] | La Collection, 1995-11-18 → 1996-04-21 [Exposition – collection] | Don Stern, 1984-01-19 → 1984-02-28 [Exposition – collection] | Sculptures de la collection, 1978-10-26 → 1978-11-05 [Exposition – collection] | La Collection permanente, 1965-1975, 1975-06-22 → 1975-07-20 [Exposition – collection]","entre-le-soi-et-l-autre | la-beaute-du-geste-50-ans-de-dons-au-musee-d-art-contemporain | la-collection-1995-11-18 | don-stern | sculptures-de-la-collection | la-collection-permanente-1965-1975","La Beauté du geste : 50 ans de dons au Musée d’art contemporain de Montréal, 2014 [Catalogue]","la-beaute-du-geste-50-ans-de-dons-au-musee-d-art","https://macrepertoire.macm.org/kit/d-72-1-s-1/","figure-mythique"
"Hans Arp","D 88 138 S 1","Chapeau forêt","vers 1930","Sculpture","Bronze, 4/5","20 x 26 x 18 cm","Meudon-Val-Fleury, France","","Don de la Fondation Max et Iris Stern","Collection Musée d’art contemporain de Montréal","Art contemporain international","1988","","","","","Arp, Hans","Hans Arp","arp-hans","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Une histoire de collections : Dons 1984-1989, 1989-04-12 → 1989-06-04 [Exposition – collection]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | une-histoire-de-collections-dons-1984-1989","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1","https://macrepertoire.macm.org/kit/d-88-138-s-1/","chapeau-foret"
"Eugène Atget","A 78 78 PH 1","Cour de Rouen","1908","Photographie","Épreuve à la gélatine argentique","22,3 x 17,9 cm","Paris, France; Rouen, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1978","","","","","Atget, Eugène","Eugène Atget","atget-eugene","La Photographie de 1900 à 1950, 1978-08-03 → 1978-09-03 [Exposition – collection (itinérante)]","la-photographie-de-1900-a-1950","Territoires urbains, 2005 [Catalogue] | La photographie de 1900 à 1950, 1978 [Catalogue]","territoires-urbains | la-photographie-de-1900-a-1950","https://macrepertoire.macm.org/kit/a-78-78-ph-1/","cour-de-rouen"
"Jean-Michel Atlan","A 64 33 G 1","Sans titre","1964","Estampe","Lithographie, 76/100","65,8 x 50,2 cm","Paris, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1964","","","","","Atlan, Jean-Michel","Jean-Michel Atlan","atlan-jean-michel","L’abstraction lyrique en Europe, 1986-10-27 → 1986-12-07 [Exposition – collection] | L’Abstraction lyrique en Europe, 1979-09-22 → 1979-10-14 [Exposition – collection (itinérante)]","l-abstraction-lyrique-en-europe-1986-10-27 | l-abstraction-lyrique-en-europe","L’Abstraction lyrique en Europe, 1978 [Catalogue]","l-abstraction-lyrique-en-europe","https://macrepertoire.macm.org/kit/a-64-33-g-1/","sans-titre-64-33"
"Jean Aujame","A 92 1201 G 1","Sans titre","1953","Estampe","Lithographie, 108/150","33 x 50 cm","","","Achat","Collection Lavalin du Musée d’art contemporain de Montréal","Art contemporain international","1992","","","","","Aujame, Jean","Jean Aujame","aujxme","","","","","https://macrepertoire.macm.org/kit/a-92-1201-g-1/","sans-titre-92-1201"
"François Baillairgé","A 92 1027 PA 1","Portrait d’homme","1805","Dessin","Pastel sur papier","38,9 x 32,2 cm","Québec (Québec), Canada","","Achat","Collection Lavalin du Musée d’art contemporain de Montréal","Art contemporain québécois","1992","","","","","Baillairgé, François","François Baillairgé","baillairge-francois","La Collection Lavalin du Musée d’art contemporain de Montréal – Le Partage d’une vision, 1994-04-30 → 1994-10-23 [Exposition – collection]","la-collection-lavalin-du-musee-d-art-contemporain-de-montreal-1994-04-30","La Collection Lavalin du Musée d’art contemporain de Montréal : le partage d’une vision, 1994 [Catalogue]","la-collection-lavalin-du-musee-d-art-contemporain-de","https://macrepertoire.macm.org/kit/a-92-1027-pa-1/","portrait-d-homme"
"Théo Ballmer","A 86 43 PH 1","Sans titre (composition abstraite)","vers 1928","Photographie","Épreuve à la gélatine argentique","18 x 20,5 cm","Dessau, Allemagne","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1986","","","","","Ballmer, Théo","Théo Ballmer","ballmer-theo","","","","","https://macrepertoire.macm.org/kit/a-86-43-ph-1/","sans-titre-composition-abstraite"
"Henryk Berlewi","A 77 46 G 1","Sans titre","1924-1960","Estampe","Sérigraphie, 73/200","61 x 50 cm","Paris, France","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1977","","","","","Berlewi, Henryk","Henryk Berlewi","berlewi-henryk","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | Point, Ligne, Plan, 1986-01-26 → 1986-03-16 [Exposition – collection] | Constructivisme et avant-garde russe, 1981-02-27 → 1981-04-05 [Exposition – collection (itinérante)]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | point-ligne-plan | constructivisme-et-avant-garde-russe","Le Magazine du Musée d’art contemporain de Montréal, 2015 [Journal] | Constructivisme et avant-garde russe, 1982 [Catalogue] | Constructivisme polonais 1923-1936, 1977 [Catalogue]","le-magazine-du-musee-d-art-contemporain-de-montreal_2015-1 | constructivisme-et-avant-garde-russe | constructivisme-polonais-1923-1936","https://macrepertoire.macm.org/kit/a-77-46-g-1/","sans-titre-77-46"
"Karl Blossfeldt","A 78 80 PH 1","Blumenbachia Hieronymi (tirée de l’album « Karl Blossfeldt », 1975)","vers 1925, tirage postérieur","Photographie","Épreuve à la gélatine argentique collée en plein sur carton, 22/50","32,5 x 43 cm","Berlin, Allemagne; Cologne, Allemagne","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain international","1978","","","","","Blossfeldt, Karl","Karl Blossfeldt","blossfeldt-karl","L’Œil et l’esprit : Point de vue de Geneviève Cadieux sur la Collection, 2015-04-02 → 2016-04-17 [Exposition – collection] | La Photographie de 1900 à 1950, 1978-08-03 → 1978-09-03 [Exposition – collection (itinérante)]","l-oeil-et-l-esprit-point-de-vue-de-genevieve-cadieux | la-photographie-de-1900-a-1950","","","https://macrepertoire.macm.org/kit/a-78-80-ph-1/","blumenbachia-hieronymi-karl-blossfeldt"
"Paul-Émile Borduas","D 73 110 P 1","Sans titre (no 52)","vers 1960","Peinture","Huile sur toile","50,3 x 61,2 cm","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | Paul-Émile Borduas : New York–Paris, 1979-10-17 → 1980-03-10 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","paul-emile-borduas-emles-frontieres | borduas-et-l-epopee-automatiste | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | paul-emile-borduas-new-yorkparis | la-collection-borduas | borduas-new-york-paris","Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-110-p-1/","sans-titre-no-52"
"Paul-Émile Borduas","D 73 113 D 21","Sans titre","vers 1959-1960","Dessin","Encre sur carton de cigarettes Gitanes","21 éléments : 7,4 x 8,8 cm environ (chaque dessin), 30,4 x 30,4 x 3,8 cm (chaque encadrement)","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Paul-Émile Borduas et le Refus global, 2008-07-12 → 2009-04-19 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet II], 2006-03-03 → 2008-03-24 [Exposition – collection] | La Magie des signes : Œuvres sur papier de la Collection Borduas du Musée d’art contemporain de Montréal, 2004-10-14 → 2005-01-15 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet I], 2002-05-24 → 2006-04-19 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Petits formats de la collection, 1978-05-18 → 1978-06-18 [Exposition – collection] | Tendances de l’abstraction lyrique dans la collection du Musée, 1977-09-18 → 1977-10-23 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","paul-emile-borduas-emles-frontieres | paul-emile-borduas-et-le-refus-global | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet-2006-03-03 | la-magie-des-signes-oeuvres-sur-papier-de-la-collection | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet | borduas-et-l-epopee-automatiste | petits-formats-de-la-collection | tendances-de-l-abstraction-lyrique-dans-la-collection | la-collection-borduas | borduas-new-york-paris","La Magie des signes, 2004 [Catalogue] | Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","la-magie-des-signes | paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-113-d-21/","sans-titre-73-113"
"Paul-Émile Borduas","D 73 112 A 1","Sans titre (no 75)","vers 1959","Dessin","Aquarelle sur papier","64,8 x 49,1 cm","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Borduas : Œuvres de la Collection permanente, 1980-12-18 → 1981-01-25 [Exposition – collection] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Paul-Émile Borduas, période parisienne, 1979-06-14 → 1979-11-24 [Exposition – collection] | Paul-Émile Borduas : œuvres de la période new-yorkaise et parisienne, 1979-01-18 → 1979-03-11 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","borduas-oeuvres-de-la-collection-permanente | la-collection-permanente-du-musee | paul-emile-borduas-periode-parisienne | paul-emile-borduas-oeuvres-de-la-periode | la-collection-borduas | borduas-new-york-paris","La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-112-a-1/","sans-titre-no-75"
"Paul-Émile Borduas","A 92 714 P 1","Sans titre","1959","Peinture","Huile sur toile","120,3 x 60 cm","Paris, France","","Achat","Collection Lavalin du Musée d’art contemporain de Montréal","Art contemporain québécois","1992","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection Lavalin du Musée d’art contemporain de Montréal, Corpus I / 1939-1965 : de la figuration moderne à l’abstraction, et au-delà, 1995-09-07 → 1995-10-22 [Exposition – collection (itinérante)] | La Collection Lavalin du Musée d’art contemporain de Montréal – Le Partage d’une vision, 1994-04-30 → 1994-10-23 [Exposition – collection]","borduas-et-l-epopee-automatiste | la-collection-lavalin-du-musee-d-art-contemporain-de-montreal | la-collection-lavalin-du-musee-d-art-contemporain-de-montreal-1994-04-30","Paul-Émile Borduas, 1998 [Catalogue] | La Collection Lavalin du Musée d’art contemporain de Montréal : le partage d’une vision, 1994 [Catalogue]","paul-emile-borduas-3 | la-collection-lavalin-du-musee-d-art-contemporain-de","https://macrepertoire.macm.org/kit/a-92-714-p-1/","sans-titre-92-714"
"Paul-Émile Borduas","D 73 100 P 1","Sans titre (no 26)","vers 1959","Peinture","Huile sur toile","116 x 89 cm","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | Paul-Émile Borduas : New York–Paris, 1979-10-17 → 1980-03-10 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","paul-emile-borduas-emles-frontieres | borduas-et-l-epopee-automatiste | paul-emile-borduas-diffusion-de-l-oeuvre | paul-emile-borduas-new-yorkparis | la-collection-borduas | borduas-new-york-paris","Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-100-p-1/","sans-titre-no-26"
"Paul-Émile Borduas","D 73 105 P 1","Sans titre (no 28)","vers 1959","Peinture","Huile sur toile","89,3 x 116 cm","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet II], 2006-03-03 → 2008-03-24 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet I], 2002-05-24 → 2006-04-19 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Œuvres phares : peintures et sculptures majeures, 1996-05-17 → 1996-10-20 [Exposition – collection] | La Collection, 1995-11-18 → 1996-04-21 [Exposition – collection] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Paul-Émile Borduas : New York–Paris, 1979-10-17 → 1980-03-10 [Exposition – collection] | Paul-Émile Borduas, période parisienne, 1979-06-14 → 1979-11-24 [Exposition – collection] | Paul-Émile Borduas : œuvres de la période new-yorkaise et parisienne, 1979-01-18 → 1979-03-11 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","paul-emile-borduas-emles-frontieres | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet-2006-03-03 | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet | borduas-et-l-epopee-automatiste | oeuvres-phares-peintures-et-sculptures-majeures | la-collection-1995-11-18 | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | paul-emile-borduas-diffusion-de-l-oeuvre | la-collection-permanente-du-musee | paul-emile-borduas-new-yorkparis | paul-emile-borduas-periode-parisienne | paul-emile-borduas-oeuvres-de-la-periode | la-collection-borduas | borduas-new-york-paris","Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-105-p-1/","sans-titre-no-28"
"Paul-Émile Borduas","D 73 109 P 1","Sans titre (no 3)","vers 1959","Peinture","Huile sur toile","50,2 x 61,1 cm","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | Paul-Émile Borduas : New York–Paris, 1979-10-17 → 1980-03-10 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","borduas-et-l-epopee-automatiste | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | paul-emile-borduas-diffusion-de-l-oeuvre | paul-emile-borduas-new-yorkparis | la-collection-borduas | borduas-new-york-paris","La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-109-p-1/","sans-titre-no-3"
"Paul-Émile Borduas","D 73 102 P 1","Sans titre (no 41)","vers 1959","Peinture","Huile sur toile","89 x 129,8 cm","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | Paul-Émile Borduas : New York–Paris, 1979-10-17 → 1980-03-10 [Exposition – collection] | Paul-Émile Borduas, période parisienne, 1979-06-14 → 1979-11-24 [Exposition – collection] | Paul-Émile Borduas : œuvres de la période new-yorkaise et parisienne, 1979-01-18 → 1979-03-11 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","borduas-et-l-epopee-automatiste | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | paul-emile-borduas-diffusion-de-l-oeuvre | paul-emile-borduas-new-yorkparis | paul-emile-borduas-periode-parisienne | paul-emile-borduas-oeuvres-de-la-periode | la-collection-borduas | borduas-new-york-paris","Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-102-p-1/","sans-titre-no-41"
"Paul-Émile Borduas","D 73 103 P 1","Sans titre (no 42)","vers 1959","Peinture","Huile sur toile","73,3 x 60,2 cm","Paris, France","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | Paul-Émile Borduas : New York–Paris, 1979-10-17 → 1980-03-10 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","paul-emile-borduas-emles-frontieres | borduas-et-l-epopee-automatiste | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | paul-emile-borduas-diffusion-de-l-oeuvre | paul-emile-borduas-new-yorkparis | la-collection-borduas | borduas-new-york-paris","Paul-Émile Borduas, 1998 [Catalogue] | Paul-Émile Borduas : Sans titre (no 42), 1982 [Petit imprimé] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","paul-emile-borduas-3 | paul-emile-borduas-sans-titre | la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-103-p-1/","sans-titre-no-42"
