"libelleNomsArtistes","numero","titre","dateProduction","categorie","materiaux","dimensions","lieuProduction","emplacementOeuvresDansLaVille","provenance","collection","departement","dateAcquisition","oeuvrePrincipale","oeuvrePrincipaleId","elements","elementsId","nomsArtistesTries","artistes","artistesId","evenements","evenementsId","publications","publicationsId","images","id"
"Paul-Émile Borduas","D 73 64 P 1","L’Éternelle Amérique ou 9.46","1946","Peinture","Huile sur toile","96,7 x 119,7 cm","Mont-Saint-Hilaire (Québec), Canada","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet II], 2006-03-03 → 2008-03-24 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet I], 2002-05-24 → 2006-04-19 [Exposition – collection] | La Collection, 2001-04-28 → 2001-06-03 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection : tableau inaugural, 1992-05-28 → 1994-04-03 [Exposition – collection] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","paul-emile-borduas-emles-frontieres | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet-2006-03-03 | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet | la-collection | borduas-et-l-epopee-automatiste | la-collection-tableau-inaugural | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | la-collection-borduas | borduas-new-york-paris","Paul-Émile Borduas, 1998 [Catalogue] | L’Abécédaire du Musée, 1995 [Publication] | La Collection : Tableau inaugural, 1992 [Catalogue] | Les Vingt ans du Musée à travers sa collection, 1985 [Catalogue] | Paul-Émile Borduas : Sans titre (no 42), 1982 [Petit imprimé] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue] | L’originalité de l’automatisme québécois, 1979 [Journal] | Du figuratif au non-figuratif avec Borduas, 1977 [Journal] | La Salle Borduas, 1975 [Journal]","paul-emile-borduas-3 | l-abecedaire-du-musee | la-collection-tableau-inaugural | les-vingt-ans-du-musee-a-travers-sa-collection | paul-emile-borduas-sans-titre | la-collection-borduas-du-musee-d-art-contemporain | l-originalite-de-l-automatisme-quebecois_ateliers-1979-1 | du-figuratif-au-non-figuratif-avec-borduas_ateliers-1977-5 | la-salle-borduas_ateliers-1975-4","https://macrepertoire.macm.org/kit/d-73-64-p-1/","l-eternelle-amerique-ou-946"
"Paul-Émile Borduas","A 71 47 P 1","Paysage","1946","Peinture","Huile sur toile","19,6 x 25,5 cm","Mont-Saint-Hilaire (Québec), Canada","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1971","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","La Question de l’abstraction, 2012-04-12 → 2014-09-14 [Exposition – collection (itinérante)] | Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | La Société d’art contemporain de Montréal 1939-1948, 1981-05-21 → 1981-06-21 [Exposition – temporaire] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Les petits formats de la collection, 1974-08-09 → 1974-09-01 [Exposition – collection] | Collection Gisèle et Gérard Lortie, 1972-03-02 → 1972-04-16 [Exposition – collection]","la-question-de-l-abstraction | paul-emile-borduas-emles-frontieres | paul-emile-borduas-diffusion-de-l-oeuvre | la-societe-d-art-contemporain-de-montreal-1939-1948 | la-collection-permanente-du-musee | les-petits-formats-de-la-collection | collection-gisele-et-gerard-lortie","La Question de l’abstraction, 2013 [Petit imprimé] | La Question de l’abstraction, 2013 [Catalogue] | Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue] | Collection Gisèle et Gérard Lortie, Montréal : Acquisitions 1972, 1972 [Petit imprimé]","la-question-de-l-abstraction | la-question-de-l-abstraction-2 | paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain | collection-gisele-et-gerard-lortie-montreal","https://macrepertoire.macm.org/kit/a-71-47-p-1/","paysage-71-47"
"Paul-Émile Borduas","A 71 57 P 1","Palette d’artiste surréaliste ou 3.45","1945","Peinture","Huile sur toile","57,5 x 76,2 cm","Mont-Saint-Hilaire (Québec), Canada","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1971","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","La Question de l’abstraction, 2012-04-12 → 2014-09-14 [Exposition – collection (itinérante)] | Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet II], 2006-03-03 → 2008-03-24 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet I], 2002-05-24 → 2006-04-19 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Collection Gisèle et Gérard Lortie, 1972-03-02 → 1972-04-16 [Exposition – collection] | Panorama I de la peinture au Québec, 1940-1955, 1967-05-15 → 1967-06-25 [Exposition – temporaire]","la-question-de-l-abstraction | paul-emile-borduas-emles-frontieres | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet-2006-03-03 | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet | borduas-et-l-epopee-automatiste | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | paul-emile-borduas-diffusion-de-l-oeuvre | la-collection-permanente-du-musee | collection-gisele-et-gerard-lortie | panorama-i-de-la-peinture-au-quebec-1940-1955","La Question de l’abstraction, 2013 [Petit imprimé] | La Question de l’abstraction, 2013 [Catalogue] | Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue] | Collection Gisèle et Gérard Lortie, Montréal : Acquisitions 1972, 1972 [Petit imprimé] | Panorama de la peinture au Québec, 1940-1966, 1967 [Catalogue]","la-question-de-l-abstraction | la-question-de-l-abstraction-2 | paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain | collection-gisele-et-gerard-lortie-montreal | panorama-de-la-peinture-au-quebec-1940-1966","https://macrepertoire.macm.org/kit/a-71-57-p-1/","palette-d-artiste-surrealiste-ou-345"
"Paul-Émile Borduas","D 73 62 D 1","Sans titre","1943","Dessin","Graphite, fusain et encre sur papier","57,3 x 51,1 cm","Montréal (Québec), Canada","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","La Magie des signes : Œuvres sur papier de la Collection Borduas du Musée d’art contemporain de Montréal, 2004-10-14 → 2005-01-15 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | Dessin et surréalisme au Québec, 1980-04-24 → 1980-06-08 [Exposition – collection (itinérante)] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","la-magie-des-signes-oeuvres-sur-papier-de-la-collection | borduas-et-l-epopee-automatiste | paul-emile-borduas-diffusion-de-l-oeuvre | dessin-et-surrealisme-au-quebec | la-collection-borduas | borduas-new-york-paris","La Magie des signes, 2004 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue] | Dessin et surréalisme au Québec, 1979 [Catalogue]","la-magie-des-signes | la-collection-borduas-du-musee-d-art-contemporain | dessin-et-surrealisme-au-quebec","https://macrepertoire.macm.org/kit/d-73-62-d-1/","sans-titre-73-62"
"Paul-Émile Borduas","A 66 84 P 1","Diaphragme rudimentaire","1943","Peinture","Huile sur carton","24 x 34,5 cm","Montréal (Québec), Canada","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1966","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Acquisitions ‘66 : Invention, qualité et prestige, 1967-02-28 → 1967-03-19 [Exposition – collection]","borduas-et-l-epopee-automatiste | paul-emile-borduas-diffusion-de-l-oeuvre | la-collection-permanente-du-musee | acquisitions-66-invention-qualite-et-prestige","La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/a-66-84-p-1/","diaphragme-rudimentaire"
"Paul-Émile Borduas","A 71 55 P 1","Glaïeul de flamme","1943","Peinture","Huile sur toile","56,2 x 47,2 cm","Montréal (Québec), Canada","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1971","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | La Révolution automatiste, 1979 → 1981 [Exposition – collection (itinérante)] | Collection Gisèle et Gérard Lortie, 1972-03-02 → 1972-04-16 [Exposition – collection] | Borduas et les automatistes, Montréal 1942-1955, 1971-12-02 → 1972-01-16 [Exposition – temporaire (itinérante)]","paul-emile-borduas-emles-frontieres | borduas-et-l-epopee-automatiste | paul-emile-borduas-diffusion-de-l-oeuvre | la-revolution-automatiste | collection-gisele-et-gerard-lortie | borduas-et-les-automatistes-montreal-1942-1955","Paul-Émile Borduas, 1998 [Catalogue] | La révolution automatiste, 1980 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue] | Collection Gisèle et Gérard Lortie, Montréal : Acquisitions 1972, 1972 [Petit imprimé] | Borduas et les automatistes : Montréal 1942-1955, 1971 [Catalogue]","paul-emile-borduas-3 | la-revolution-automatiste | la-collection-borduas-du-musee-d-art-contemporain | collection-gisele-et-gerard-lortie-montreal | borduas-et-les-automatistes-montreal-1942-1955","https://macrepertoire.macm.org/kit/a-71-55-p-1/","glaieul-de-flamme"
"Paul-Émile Borduas","D 73 63 P 1","Sans titre","1943","Peinture","Huile sur toile","45,5 x 40 cm","Montréal (Québec), Canada","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Place à la Magie! Les années 40, 50 et 60 au Québec [volet II], 2006-03-03 → 2008-03-24 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet I], 2002-05-24 → 2006-04-19 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection : Œuvres phares, 1997-04-26 → 1997-10-26 [Exposition – collection] | Le geste oublié, 1987-05-24 → 1987-08-30 [Exposition – collection (itinérante)] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Les petits formats de la collection, 1974-08-09 → 1974-09-01 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet-2006-03-03 | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet | borduas-et-l-epopee-automatiste | la-collection-oeuvres-phares | le-geste-oublie | paul-emile-borduas-diffusion-de-l-oeuvre | la-collection-borduas | les-petits-formats-de-la-collection | borduas-new-york-paris","Paul-Émile Borduas, 1998 [Catalogue] | Le geste oublié, 1987 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","paul-emile-borduas-3 | le-geste-oublie | la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-63-p-1/","sans-titre-73-63"
"Paul-Émile Borduas","A 71 56 P 1","Viol aux confins de la matière","1943","Peinture","Huile sur toile","40,4 x 46,5 cm","Montréal (Québec), Canada","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1971","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","La Question de l’abstraction, 2012-04-12 → 2014-09-14 [Exposition – collection (itinérante)] | Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet II], 2006-03-03 → 2008-03-24 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet I], 2002-05-24 → 2006-04-19 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | La Collection, 1995-11-18 → 1996-04-21 [Exposition – collection] | Propos d’art contemporain : Figures d’accumulation, 1989-12-10 → 1991-12-01 [Exposition – collection (itinérante)] | La Collection Borduas du Musée d’art contemporain : œuvres picturales 1943-1960, 1984-08-30 → 1984-09-30 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | La Collection permanente du Musée, 1980-06-19 → 1980-08-03 [Exposition – collection] | Collection Gisèle et Gérard Lortie, 1972-03-02 → 1972-04-16 [Exposition – collection] | Borduas et les automatistes, Montréal 1942-1955, 1971-12-02 → 1972-01-16 [Exposition – temporaire (itinérante)] | Panorama I de la peinture au Québec, 1940-1955, 1967-05-15 → 1967-06-25 [Exposition – temporaire]","la-question-de-l-abstraction | paul-emile-borduas-emles-frontieres | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet-2006-03-03 | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet | borduas-et-l-epopee-automatiste | la-collection-1995-11-18 | propos-d-art-contemporain-figures-d-accumulation | la-collection-borduas-du-musee-d-art-contemporain-oeuvres | paul-emile-borduas-diffusion-de-l-oeuvre | la-collection-permanente-du-musee | collection-gisele-et-gerard-lortie | borduas-et-les-automatistes-montreal-1942-1955 | panorama-i-de-la-peinture-au-quebec-1940-1955","La Question de l’abstraction, 2013 [Catalogue] | La Question de l’abstraction, 2013 [Petit imprimé] | Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue] | Collection Gisèle et Gérard Lortie, Montréal : Acquisitions 1972, 1972 [Petit imprimé] | Borduas et les automatistes : Montréal 1942-1955, 1971 [Catalogue] | Panorama de la peinture au Québec, 1940-1966, 1967 [Catalogue]","la-question-de-l-abstraction-2 | la-question-de-l-abstraction | paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain | collection-gisele-et-gerard-lortie-montreal | borduas-et-les-automatistes-montreal-1942-1955 | panorama-de-la-peinture-au-quebec-1940-1966","https://macrepertoire.macm.org/kit/a-71-56-p-1/","viol-aux-confins-de-la-matiere"
"Paul-Émile Borduas","A 71 54 GO 1","Chanteclerc ou No 6","1942","Dessin","Gouache sur papier","61,7 x 47,5 cm","Mont-Saint-Hilaire (Québec), Canada","","Achat","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1971","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Paul-Émile Borduas : Les frontières de nos rêves ne sont plus les mêmes, 2010-04-24 → 2010-10-03 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet II], 2006-03-03 → 2008-03-24 [Exposition – collection] | Dessins de la Collection, 2005-10-29 → 2006-01-03 [Exposition – collection] | La Magie des signes : Œuvres sur papier de la Collection Borduas du Musée d’art contemporain de Montréal, 2004-10-14 → 2005-01-15 [Exposition – collection] | Place à la Magie! Les années 40, 50 et 60 au Québec [volet I], 2002-05-24 → 2006-04-19 [Exposition – collection] | Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | Borduas : Œuvres de la Collection permanente, 1980-12-18 → 1981-01-25 [Exposition – collection] | Collection Gisèle et Gérard Lortie, 1972-03-02 → 1972-04-16 [Exposition – collection] | Borduas et les automatistes, Montréal 1942-1955, 1971-12-02 → 1972-01-16 [Exposition – temporaire (itinérante)]","paul-emile-borduas-emles-frontieres | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet-2006-03-03 | dessins-de-la-collection | la-magie-des-signes-oeuvres-sur-papier-de-la-collection | place-a-la-magie-les-annees-40-50-et-60-au-quebec-volet | borduas-et-l-epopee-automatiste | paul-emile-borduas-diffusion-de-l-oeuvre | borduas-oeuvres-de-la-collection-permanente | collection-gisele-et-gerard-lortie | borduas-et-les-automatistes-montreal-1942-1955","La Magie des signes, 2004 [Catalogue] | Paul-Émile Borduas, 1998 [Catalogue] | La collection Borduas du Musée d’art contemporain, 1979 [Catalogue] | Collection Gisèle et Gérard Lortie, Montréal : Acquisitions 1972, 1972 [Petit imprimé] | Borduas et les automatistes : Montréal 1942-1955, 1971 [Catalogue]","la-magie-des-signes | paul-emile-borduas-3 | la-collection-borduas-du-musee-d-art-contemporain | collection-gisele-et-gerard-lortie-montreal | borduas-et-les-automatistes-montreal-1942-1955","https://macrepertoire.macm.org/kit/a-71-54-go-1/","chanteclerc-ou-no-6"
"Paul-Émile Borduas","D 73 59 GO 1","Sans titre","vers 1942","Dessin","Gouache sur papier","57 x 72,5 cm","Montréal (Québec), Canada","","Don des Musées nationaux du Canada","Collection Musée d’art contemporain de Montréal","Art contemporain québécois","1973","","","","","Borduas, Paul-Émile","Paul-Émile Borduas","borduas-paul-emile","Borduas et l’épopée automatiste, 1998-05-09 → 1998-11-29 [Exposition – collection] | Paul-Émile Borduas, diffusion de l’œuvre, 1982-01-14 → 1982-02-21 [Exposition – collection] | Borduas : Œuvres de la Collection permanente, 1980-12-18 → 1981-01-25 [Exposition – collection] | La Collection Borduas, 1975-09-07 → 1975-10-05 [Exposition – collection] | Borduas (New York - Paris), 1973-10-04 → 1973-11-25 [Exposition – temporaire]","borduas-et-l-epopee-automatiste | paul-emile-borduas-diffusion-de-l-oeuvre | borduas-oeuvres-de-la-collection-permanente | la-collection-borduas | borduas-new-york-paris","La collection Borduas du Musée d’art contemporain, 1979 [Catalogue]","la-collection-borduas-du-musee-d-art-contemporain","https://macrepertoire.macm.org/kit/d-73-59-go-1/","sans-titre-73-59"
